,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Departments,salary,Churn Probability
36,0.38,0.46,2,137,3,0,0,technical,low,0.9871577684928761
37,0.45,0.5,2,126,3,0,0,technical,low,0.9850921096514316
38,0.11,0.89,6,306,4,0,0,technical,low,0.9966898953417033
39,0.41,0.54,2,152,3,0,0,technical,low,0.9869874125351518
40,0.87,0.88,5,269,5,0,0,technical,low,0.9150542073086525
41,0.45,0.48,2,158,3,0,0,technical,low,0.9870167447028592
42,0.4,0.46,2,127,3,0,0,technical,low,0.9871439322883909
43,0.1,0.8,7,281,4,0,0,technical,low,0.9940809433377353
44,0.09,0.89,6,276,4,0,0,technical,low,0.9920510947213184
45,0.84,0.74,3,182,4,0,0,technical,low,0.05281393777257773
46,0.4,0.55,2,147,3,0,0,support,low,0.9873538373690776
47,0.57,0.7,3,273,6,0,0,support,low,0.28844290160204844
48,0.4,0.54,2,148,3,0,0,support,low,0.9873440812715166
49,0.43,0.47,2,147,3,0,0,support,low,0.9873962217877457
50,0.13,0.78,6,152,2,0,0,support,low,0.27444929963075815
51,0.44,0.55,2,135,3,0,0,support,low,0.9873245862657247
52,0.38,0.55,2,134,3,0,0,support,low,0.9873882404049235
53,0.39,0.54,2,132,3,0,0,support,low,0.9872807455252179
54,0.1,0.92,7,307,4,0,0,support,low,0.9966660596378052
55,0.37,0.46,2,140,3,0,0,support,low,0.9875148939484069
56,0.11,0.94,7,255,4,0,0,support,low,0.9866398036871686
57,0.1,0.81,6,309,4,0,0,technical,low,0.9966898953417033
58,0.38,0.54,2,128,3,0,0,technical,low,0.9870424127762861
59,0.85,1.0,4,225,5,0,0,technical,low,0.9047930403956241
60,0.85,0.91,5,226,5,0,0,management,medium,0.9053345453706515
61,0.11,0.93,7,308,4,0,0,IT,medium,0.9966660596378052
62,0.1,0.95,6,244,5,0,0,IT,medium,0.9826991701884836
63,0.36,0.56,2,132,3,0,0,IT,medium,0.9866092029673182
64,0.11,0.94,6,286,4,0,0,IT,medium,0.9947356357187094
65,0.81,0.7,6,161,4,0,0,IT,medium,0.15078157831410874
66,0.43,0.54,2,153,3,0,0,product_mng,medium,0.9867487486807225
67,0.9,0.98,4,264,6,0,0,product_mng,medium,0.8955175739394138
68,0.76,0.86,5,223,5,1,0,product_mng,medium,0.8585780957168729
69,0.43,0.5,2,135,3,0,0,product_mng,medium,0.9868543879948537
70,0.74,0.99,2,277,3,0,0,IT,medium,0.42634304922833194
71,0.09,0.77,5,275,4,0,0,product_mng,medium,0.9447813896501717
72,0.45,0.49,2,149,3,0,0,product_mng,high,0.9727547053844021
73,0.09,0.87,7,295,4,0,0,product_mng,low,0.9953094203594277
74,0.11,0.97,6,277,4,0,0,product_mng,medium,0.9893866037156813
75,0.11,0.79,7,306,4,0,0,product_mng,medium,0.9956893480551062
76,0.1,0.83,6,295,4,0,0,product_mng,medium,0.9952729165982943
77,0.4,0.54,2,137,3,0,0,marketing,medium,0.9871796942202004
78,0.43,0.56,2,157,3,0,0,sales,low,0.9873376533667475
79,0.39,0.56,2,142,3,0,0,accounting,low,0.9871488789023419
80,0.45,0.54,2,140,3,0,0,support,low,0.9873879225187708
81,0.38,0.49,2,151,3,0,0,technical,low,0.9870794138161867
82,0.79,0.59,4,139,3,0,1,management,low,0.10187336364369935
83,0.84,0.85,4,249,6,0,0,marketing,low,0.8933410805565634
84,0.11,0.77,6,291,4,0,0,marketing,low,0.9965583714311188
85,0.11,0.87,6,305,4,0,0,marketing,low,0.9966403085648439
86,0.17,0.84,5,232,3,0,0,sales,low,0.0771133898728068
87,0.44,0.45,2,132,3,0,0,sales,low,0.987059716871772
88,0.37,0.57,2,130,3,0,0,sales,low,0.9873889262375274
89,0.1,0.79,6,291,4,0,0,sales,low,0.9963310270729796
90,0.4,0.5,2,130,3,0,0,sales,low,0.9874166847097379
91,0.89,1.0,5,246,5,0,0,sales,low,0.9229821675704888
92,0.42,0.48,2,143,3,0,0,sales,low,0.9875249386368679
93,0.46,0.55,2,129,3,0,0,sales,low,0.9873005116176028
94,0.09,0.83,6,255,4,0,0,sales,low,0.9861637100977209
95,0.37,0.51,2,155,3,0,0,sales,low,0.9872800617992803
96,0.1,0.77,6,265,4,0,0,sales,low,0.9858898943740805
97,0.1,0.84,6,279,4,0,0,sales,low,0.9924323374222621
98,0.11,0.97,6,284,4,0,0,sales,low,0.9930633522444307
99,0.9,1.0,5,221,6,0,0,sales,medium,0.9160726805100903
100,0.38,0.52,2,154,3,0,0,sales,medium,0.9869464357972185
101,0.36,0.52,2,147,3,0,0,sales,medium,0.9869493818561158
102,0.42,0.46,2,150,3,0,0,sales,medium,0.9872325852847393
103,0.09,0.94,7,267,4,0,0,sales,medium,0.9865330955715343
104,0.43,0.52,2,158,3,0,0,sales,medium,0.9866161313709918
105,0.24,0.46,7,224,5,0,0,accounting,medium,0.8001767003280599
106,0.91,1.0,4,257,5,0,0,accounting,medium,0.9112871887347355
107,0.44,0.5,2,148,3,0,0,accounting,medium,0.9865755733073552
108,0.71,0.87,3,177,4,0,0,hr,medium,0.08678095510695133
109,0.4,0.49,2,155,3,0,0,hr,medium,0.987277068948883
110,0.43,0.47,2,144,3,0,0,hr,medium,0.9872346722473574
111,0.09,0.85,6,289,4,0,0,hr,high,0.9944896641351446
112,0.43,0.52,2,160,3,0,0,technical,low,0.986590285331385
113,0.9,0.96,4,258,5,0,0,technical,medium,0.9008181828011468
114,0.84,1.0,5,234,5,0,0,technical,medium,0.9211921657802458
115,0.37,0.48,2,137,3,0,0,technical,medium,0.9869020137594363
116,0.86,0.68,5,263,2,0,0,technical,medium,0.03169097277800141
117,0.11,0.84,6,251,4,0,0,technical,low,0.9861365780141197
118,0.37,0.57,2,133,3,0,0,technical,low,0.9869943560071727
119,0.4,0.46,2,132,3,0,0,technical,low,0.9871736031541916
120,0.14,0.62,4,158,4,1,0,technical,low,0.0974036640624232
121,0.4,0.46,2,135,3,0,0,technical,low,0.9871873646220816
122,0.75,1.0,4,216,6,0,0,technical,low,0.7186064515753597
123,0.11,0.84,6,300,5,1,0,support,low,0.9970386131639137
124,0.46,0.49,2,138,3,0,0,support,low,0.9873466723788528
125,0.11,0.92,6,260,4,0,0,support,low,0.9863092134594825
126,0.38,0.49,2,132,3,0,0,support,low,0.9873754079972633
127,0.7,0.89,3,183,5,0,0,support,low,0.2238403614738974
128,0.09,0.82,6,250,4,0,0,support,low,0.9861637100977209
129,0.37,0.45,2,151,3,0,0,support,low,0.9870168304994744
130,0.1,0.83,6,292,4,0,0,support,low,0.9966403085648439
131,0.38,0.57,2,140,3,0,0,support,low,0.9872429165278958
132,0.9,1.0,5,221,5,0,0,support,low,0.9227107866531088
133,0.44,0.51,2,138,3,0,0,support,low,0.9871625150364293
134,0.36,0.5,2,132,3,0,0,technical,low,0.9869474845544011
135,0.31,0.84,7,133,5,0,0,technical,low,0.7296418786384326
136,0.1,0.84,6,283,4,1,0,technical,low,0.9938165490430523
137,0.42,0.48,2,129,3,0,0,management,low,0.9874335906087591
138,0.74,1.0,4,249,5,0,0,IT,low,0.9098657979168074
139,0.73,0.87,5,257,5,0,0,IT,low,0.9142244153370517
140,0.09,0.96,6,245,4,0,0,IT,low,0.9862550467928158
141,0.45,0.53,2,155,3,0,0,IT,low,0.986779964752031
142,0.11,0.8,6,256,4,0,0,IT,low,0.9876853929927785
143,0.37,0.47,2,152,3,0,0,product_mng,low,0.9862130341508802
144,0.84,0.99,4,267,5,0,0,product_mng,low,0.9037448479358755
145,0.41,0.46,2,151,3,0,0,product_mng,low,0.9867818205086851
146,0.76,0.92,4,239,5,0,0,product_mng,low,0.9002158237783212
147,0.11,0.87,6,306,4,0,0,IT,low,0.9966403085648439
148,0.84,0.88,4,263,5,1,0,marketing,low,0.8646309020798372
149,0.39,0.5,2,147,3,0,0,marketing,low,0.9872538457353179
150,0.11,0.91,6,278,4,0,0,marketing,low,0.9924323374222621
151,0.45,0.56,2,154,3,0,0,marketing,low,0.9873276447108762
152,0.37,0.52,2,143,3,0,0,marketing,low,0.9872630468043456
153,0.4,0.52,2,155,3,0,0,marketing,low,0.9872203111443137
154,0.39,0.48,2,160,3,0,0,sales,low,0.9872777178520014
155,0.11,0.8,6,304,4,0,0,accounting,low,0.9966403085648439
156,0.83,1.0,5,240,5,0,0,support,low,0.9230341639302925
157,0.11,0.92,6,305,4,0,0,technical,low,0.9966898953417033
158,0.39,0.5,2,136,3,0,0,management,low,0.9872618331078817
159,0.45,0.45,2,132,3,0,0,marketing,low,0.9870792443229814
160,0.1,0.95,7,301,4,0,0,marketing,low,0.9966660596378052
161,0.9,0.98,5,243,6,0,0,marketing,low,0.9115675267145745
162,0.45,0.51,2,147,3,0,0,sales,low,0.98727454749349
163,0.79,0.89,5,239,5,0,0,sales,low,0.9144334706233928
164,0.9,0.99,5,260,5,0,0,sales,low,0.9167838449072163
165,0.11,0.84,7,296,4,0,0,sales,low,0.9966660596378052
166,0.43,0.55,2,129,3,0,0,sales,low,0.9875038207105487
167,0.31,0.54,5,132,5,0,0,sales,low,0.16784713044246716
168,0.32,0.5,2,135,5,0,0,sales,low,0.611336057284935
169,0.45,0.57,2,158,3,0,0,sales,low,0.9872252669481222
170,0.81,0.99,4,259,5,0,0,sales,low,0.9045398097855075
171,0.41,0.46,2,160,3,0,1,sales,low,0.9840175516750127
172,0.11,0.78,7,278,4,0,0,sales,low,0.9925380416490159
173,0.1,0.88,6,284,4,0,0,sales,low,0.9943547097523945
174,0.7,0.53,2,274,4,0,0,sales,low,0.15623342855648073
175,0.54,0.74,4,164,2,0,0,sales,low,0.02900594084007241
176,0.41,0.48,2,148,3,0,0,sales,low,0.9875551690149309
177,0.38,0.5,2,140,3,0,0,sales,medium,0.9871108282139728
178,0.37,0.51,2,127,3,0,0,sales,medium,0.9869325862986306
179,0.11,0.85,6,308,5,0,0,sales,medium,0.997261332373403
180,0.4,0.47,2,146,3,0,0,sales,medium,0.9872744981363478
181,0.1,0.84,6,261,4,0,0,accounting,medium,0.9862025053438482
182,0.89,0.99,5,257,5,0,0,accounting,medium,0.9147625926033026
183,0.11,0.8,6,285,4,0,0,accounting,medium,0.9942673114610814
184,0.36,0.55,2,141,3,0,0,hr,medium,0.9871917746035471
185,0.4,0.46,2,127,3,0,0,hr,medium,0.9873318541670275
186,0.09,0.85,6,297,4,0,0,hr,medium,0.9966295558766718
187,0.4,0.46,2,143,3,0,0,hr,medium,0.9873212798553799
188,0.37,0.55,2,152,3,0,0,technical,medium,0.9866888137695563
189,0.44,0.51,2,156,3,0,0,technical,high,0.970524205044454
190,0.09,0.8,7,283,5,0,0,technical,low,0.9952315505151355
191,0.92,0.87,4,226,6,1,0,technical,medium,0.8509466891855649
192,0.74,0.91,4,232,5,0,0,technical,medium,0.8983777563323146
193,0.09,0.82,6,249,4,0,0,technical,medium,0.9858843665367237
194,0.89,0.95,4,275,5,0,0,technical,medium,0.9007816812582228
195,0.09,0.8,6,304,4,0,0,technical,low,0.9966327524845604
196,0.27,0.54,7,278,3,0,0,technical,low,0.7796790006110904
197,0.1,0.91,6,287,4,0,0,technical,low,0.995765854029839
198,0.1,0.89,7,285,4,0,0,technical,low,0.9948294955885222
199,0.77,0.94,5,226,6,0,0,support,low,0.9097077362423085
200,0.9,0.82,5,259,5,0,0,support,low,0.8347782121069917
201,0.39,0.5,2,135,3,0,0,support,low,0.9872837925323298
202,0.76,1.0,5,219,5,0,0,support,low,0.9226502401096436
203,0.1,0.93,6,256,4,0,0,support,low,0.9863092134594825
204,0.87,0.9,5,254,6,0,0,support,low,0.9110013259771924
205,0.38,0.5,2,153,3,0,0,support,low,0.98717864320384
206,0.77,0.99,5,228,5,0,0,support,low,0.9157316824472627
207,0.78,0.87,4,228,5,0,0,support,low,0.8988308294158238
208,0.44,0.5,2,128,3,0,0,support,low,0.9871742350645529
209,0.38,0.52,2,153,3,0,0,support,low,0.9871279516237926
210,0.43,0.46,2,156,3,0,0,technical,low,0.9870396933377755
211,0.39,0.5,4,294,3,0,0,technical,low,0.7704988095785114
212,0.88,1.0,5,219,5,0,0,technical,low,0.9225452653172049
213,0.45,0.46,2,153,3,0,0,management,low,0.9871069686167823
214,0.4,0.53,2,151,3,0,0,IT,low,0.986826680054578
215,0.36,0.51,2,155,3,0,0,IT,low,0.986576725378045
216,0.36,0.48,2,158,3,0,0,IT,low,0.986734355903767
217,0.9,0.98,5,245,5,0,0,IT,low,0.9155433026819323
218,0.43,0.53,2,131,3,0,0,IT,low,0.9868670296149401
219,0.89,0.87,5,225,5,0,0,product_mng,low,0.9079516463604022
220,0.1,0.84,6,286,4,0,0,product_mng,low,0.9931139621981816
221,0.37,0.5,2,135,3,0,0,product_mng,low,0.9861450709393653
222,0.37,0.51,2,153,3,0,0,product_mng,low,0.9859961618074827
223,0.87,0.9,5,252,5,0,0,IT,low,0.9146582530860653
224,0.4,0.56,2,149,3,0,0,accounting,low,0.9871152050918757
225,0.9,0.97,4,258,5,0,0,accounting,low,0.9018711006711866
226,0.37,0.46,2,158,3,0,0,hr,low,0.9874897729986714
227,0.44,0.54,2,149,3,0,0,hr,low,0.987355737116064
228,0.85,0.95,5,236,5,0,0,hr,low,0.9146352046938554
229,0.78,0.98,5,239,6,0,0,marketing,low,0.9109492086078375
230,0.42,0.47,2,159,3,0,0,marketing,low,0.9873261931212781
231,0.92,0.99,5,255,6,0,0,sales,low,0.9097687573956152
232,0.11,0.83,6,244,4,0,0,accounting,low,0.9863095434310541
233,0.42,0.56,2,134,3,0,0,support,low,0.9873747981986596
234,0.48,0.57,4,270,4,0,0,technical,low,0.16305108840166024
235,0.83,0.85,4,255,5,0,0,management,low,0.8954237095866717
236,0.4,0.53,2,151,3,0,0,marketing,low,0.9873924891511942
237,0.43,0.45,2,135,3,0,0,marketing,low,0.9870956145698352
238,0.43,0.53,2,146,3,0,0,marketing,low,0.9873554396585563
239,0.1,0.97,7,254,4,0,0,sales,low,0.9862522063515837
240,0.1,0.87,7,289,4,0,0,sales,low,0.9966660596378052
241,0.37,0.46,2,156,3,0,0,sales,low,0.9875339711797148
242,0.38,0.53,2,156,3,0,0,sales,low,0.9873899005366362
243,0.4,0.5,2,128,3,0,0,sales,low,0.9874166847097379
244,0.89,0.86,5,275,5,0,0,sales,low,0.9077023393860034
245,0.45,0.46,2,155,3,0,0,sales,low,0.987483383914745
246,0.37,0.48,2,159,3,0,0,sales,low,0.9874406624720534
247,0.46,0.49,2,148,3,0,0,sales,low,0.9873025464759086
248,0.87,0.91,4,228,5,0,0,sales,low,0.899641924129864
249,0.11,0.84,6,298,4,0,0,sales,low,0.9966403085648439
250,0.79,0.87,5,261,5,0,0,sales,low,0.9151580623228711
251,0.79,0.92,5,254,6,0,0,sales,low,0.9108639129338688
252,0.19,0.59,7,192,3,0,0,sales,low,0.7715837830551493
253,0.87,0.98,4,248,5,0,0,sales,low,0.9032287126337255
254,0.6,0.92,2,258,5,0,0,sales,low,0.3525855540989179
255,0.44,0.45,2,156,3,0,0,sales,medium,0.9867072554670493
256,0.11,0.81,6,266,4,1,0,sales,medium,0.9811193256072924
257,0.42,0.54,2,156,3,0,0,sales,medium,0.9871131939580216
258,0.88,0.88,5,232,5,1,0,accounting,medium,0.8775508594453325
259,0.11,0.84,6,287,4,0,0,accounting,medium,0.9957055145648075
260,0.46,0.46,2,154,3,0,0,accounting,medium,0.9867246955569698
261,0.82,0.97,5,263,5,0,0,hr,medium,0.9141546175725986
262,0.44,0.56,2,131,3,0,0,hr,medium,0.987111051579409
263,0.11,0.78,6,260,4,0,0,hr,medium,0.9863946582359508
264,0.42,0.5,2,139,3,0,0,hr,medium,0.987117350004522
265,0.84,0.93,4,251,5,0,0,technical,medium,0.9003915509958125
266,0.11,0.95,6,286,4,0,0,technical,medium,0.9947744698073969
267,0.45,0.53,2,129,3,0,0,technical,high,0.969278114863257
268,0.38,0.56,2,156,3,0,0,technical,low,0.9869398275545699
269,0.38,0.86,6,139,6,0,0,technical,medium,0.1814666799594324
270,0.44,0.51,2,127,3,0,0,technical,medium,0.9864657314539318
271,0.11,0.84,6,251,4,0,0,technical,medium,0.9860298698984853
272,0.81,0.93,5,270,5,0,0,technical,medium,0.9137266115021295
273,0.09,0.96,6,296,4,0,0,technical,low,0.9966898953417033
274,0.11,0.9,6,254,4,0,0,technical,low,0.9861365780141197
275,0.81,0.95,5,238,6,0,0,technical,low,0.9102471568043317
276,0.1,0.97,6,267,4,1,0,support,low,0.9821832749718455
277,0.74,0.89,5,229,6,0,0,support,low,0.9099796980758037
278,0.09,0.78,6,254,4,0,0,support,low,0.9863946582359508
279,0.82,0.81,4,233,4,1,0,support,low,0.11618223077321357
280,0.1,0.98,6,268,4,0,0,support,low,0.9859216161238976
281,0.27,0.56,3,301,3,0,0,support,low,0.6926576739655648
282,0.83,0.92,5,267,6,0,0,support,low,0.9108488344601394
283,0.1,0.93,6,289,4,1,0,support,low,0.9966206567690578
284,0.38,0.47,2,144,3,0,0,support,low,0.9873889180351726
285,0.4,0.56,2,148,3,0,0,support,low,0.9873259521337455
286,0.11,0.83,6,306,4,0,0,support,low,0.9966403085648439
287,0.11,0.79,6,292,4,0,1,technical,low,0.9914182327891515
288,0.82,0.91,5,232,5,0,0,technical,low,0.9142429808598767
289,0.36,0.48,2,137,3,0,0,technical,low,0.9871644638226782
290,0.4,0.46,2,128,3,0,0,management,low,0.987488309304568
291,0.87,0.84,5,231,5,0,0,IT,low,0.9104546675387635
292,0.41,0.49,2,146,3,0,0,IT,low,0.9868728753424941
293,0.11,0.91,6,308,4,1,0,IT,low,0.9966206567690578
294,0.1,0.93,6,253,4,0,0,IT,medium,0.9862025053438482
295,0.38,0.51,2,146,3,0,0,IT,medium,0.9864314429491639
296,0.39,0.55,2,156,3,0,0,product_mng,medium,0.9869123952291985
297,0.4,0.52,2,147,3,0,0,product_mng,medium,0.9869183178503489
298,0.45,0.48,2,136,3,0,0,product_mng,medium,0.9866428046997369
299,0.74,0.84,5,249,5,0,0,product_mng,medium,0.9098870665302772
300,0.45,0.55,2,151,3,0,0,IT,medium,0.9866234192361022
301,0.12,1.0,3,278,4,0,0,RandD,medium,0.642144201220271
302,0.1,0.77,7,250,5,0,0,RandD,medium,0.9860110547635982
303,0.37,0.55,2,127,3,0,0,RandD,medium,0.9849598013736973
304,0.89,0.87,5,255,5,0,0,RandD,medium,0.9128484654203773
305,0.45,0.47,2,135,3,0,0,RandD,medium,0.9845196490824831
306,0.37,0.46,2,149,3,0,0,marketing,high,0.966394013456142
307,0.11,0.81,5,287,4,0,0,sales,low,0.978673104772929
308,0.41,0.48,2,145,3,0,0,accounting,medium,0.9868986608412232
309,0.1,0.94,6,285,4,0,0,support,medium,0.994412814822843
310,0.1,0.93,7,305,4,0,0,technical,medium,0.9967048937264926
311,0.11,0.95,7,300,4,0,0,management,medium,0.9966553069496332
312,0.4,0.54,2,139,3,0,0,marketing,low,0.9874708438278834
313,0.41,0.49,2,130,3,0,0,marketing,low,0.9875585363222987
314,0.1,0.81,6,268,4,0,0,marketing,low,0.9857578305782383
315,0.73,0.86,4,245,6,0,0,sales,low,0.8922439397045405
316,0.43,0.47,2,135,3,0,0,sales,low,0.987584210245544
317,0.37,0.46,2,153,3,0,0,sales,low,0.9875339711797148
318,0.11,0.94,6,276,4,0,0,sales,low,0.9920015079444588
319,0.4,0.46,2,130,3,0,0,sales,low,0.987619902510125
320,0.41,0.54,2,153,3,1,0,sales,low,0.9844725721913055
321,0.82,0.84,5,244,5,0,0,sales,low,0.9124202388718982
322,0.61,0.47,2,253,3,0,0,sales,low,0.1288498008647536
323,0.11,0.91,7,287,4,0,0,sales,low,0.9957420183259409
324,0.37,0.45,2,131,3,0,0,sales,low,0.9871910574893827
325,0.41,0.52,2,135,3,0,0,sales,low,0.9873796143111857
326,0.37,0.52,2,157,3,0,0,sales,low,0.9872262357747563
327,0.88,0.99,5,262,6,0,0,sales,low,0.9123055014835728
328,0.1,0.85,6,266,4,0,0,sales,low,0.9863092134594825
329,0.44,0.48,2,148,3,0,0,sales,low,0.9874224934372497
330,0.38,0.57,2,140,3,0,0,sales,low,0.9873525503090047
331,0.11,0.85,7,302,4,0,0,sales,low,0.9966660596378052
332,0.09,0.98,6,271,4,0,0,sales,low,0.9859216161238976
333,0.45,0.52,2,145,3,0,0,sales,medium,0.9869705920416064
334,0.1,0.81,6,290,4,0,0,accounting,medium,0.9966295558766718
335,0.45,0.47,2,151,3,0,0,accounting,medium,0.9868595444603836
336,0.77,0.87,5,266,5,0,0,accounting,medium,0.9130590449407089
337,0.44,0.51,2,140,3,0,0,hr,medium,0.9869829660513015
338,0.39,0.5,2,142,3,0,0,hr,medium,0.9871273878341078
339,0.1,0.91,6,246,4,0,0,hr,medium,0.9863483386771815
340,0.09,0.89,7,308,5,0,0,hr,medium,0.9972870834463644
341,0.37,0.47,2,141,3,0,0,technical,medium,0.9868943527574022
342,0.9,1.0,5,232,5,0,0,technical,medium,0.9211921657802458
343,0.41,0.56,2,143,3,0,0,technical,medium,0.9866685067431027
344,0.37,0.52,2,155,3,0,0,technical,medium,0.9865267425402607
345,0.1,0.86,6,278,4,0,0,technical,high,0.9867706297596583
346,0.81,1.0,4,253,5,0,0,technical,low,0.9129604657808544
347,0.11,0.8,6,282,4,0,0,technical,medium,0.9938596826822492
348,0.11,0.84,7,264,4,0,0,technical,medium,0.9865826823483937
349,0.4,0.46,2,149,3,0,0,technical,medium,0.9867871666715232
350,0.09,0.8,6,304,5,0,0,technical,medium,0.9972537762931196
351,0.48,0.93,3,219,6,0,0,technical,low,0.4161970889629938
352,0.91,0.91,4,262,6,0,0,support,low,0.8944106397349513
353,0.43,0.57,2,135,3,0,0,support,low,0.9872702855223361
354,0.33,0.88,6,219,5,0,0,support,low,0.2510445932355385
355,0.41,0.57,2,136,3,0,0,support,low,0.9872943888843787
356,0.41,0.55,2,154,3,0,0,support,low,0.9873338342075372
357,0.37,0.54,2,149,3,0,0,support,low,0.9873426060250516
358,0.31,0.62,6,135,5,0,0,support,low,0.18828516683279012
359,0.09,0.91,6,275,4,0,0,support,low,0.9897043167884177
360,0.1,0.87,6,290,4,0,0,support,low,0.9966403085648439
361,0.76,0.9,4,263,5,0,0,support,low,0.9010401563132182
362,0.41,0.54,2,145,3,0,0,support,low,0.9873311351409215
363,0.72,0.96,5,267,5,0,0,technical,low,0.909742639052382
364,0.4,0.5,2,141,3,1,0,technical,low,0.9843321530293434
365,0.91,0.87,4,235,5,0,0,technical,low,0.899190477217333
366,0.1,0.83,6,258,4,0,0,management,low,0.9862115042153679
367,0.4,0.56,2,131,3,0,0,IT,low,0.9868731441256063
368,0.82,0.86,5,243,5,0,0,IT,low,0.9135132261211772
369,0.1,0.82,6,266,4,0,0,IT,low,0.9861637100977209
370,0.37,0.45,2,142,3,0,0,IT,low,0.9865107619144419
371,0.36,0.51,2,135,3,0,0,IT,low,0.9866749429298802
372,0.39,0.48,2,141,3,0,0,product_mng,medium,0.9871920082911184
373,0.36,0.57,2,142,3,0,0,product_mng,medium,0.987027551422214
374,0.86,0.84,5,254,5,0,0,product_mng,medium,0.9098456157530751
375,0.73,0.99,5,262,5,0,0,product_mng,medium,0.9141846113681992
376,0.56,0.71,4,296,2,0,0,IT,medium,0.8393713405776602
377,0.44,0.56,2,158,3,0,0,accounting,medium,0.9863465744103713
378,0.31,0.56,4,238,2,0,0,accounting,medium,0.24600878724895073
379,0.77,0.93,4,231,5,0,0,hr,medium,0.8997758738987449
380,0.44,0.45,2,156,3,0,0,hr,medium,0.9867168833105299
381,0.38,0.46,2,145,3,0,0,hr,medium,0.9872401743389847
382,0.45,0.48,2,144,3,0,0,marketing,medium,0.9871612097234815
383,0.38,0.51,2,159,3,0,0,sales,medium,0.986556940695448
384,0.36,0.48,2,156,3,0,0,accounting,high,0.9655060966375762
385,0.75,0.9,5,256,5,0,0,support,low,0.9155652660085857
386,0.1,0.93,6,298,4,0,0,technical,medium,0.9966791426535312
387,0.1,0.97,6,247,4,0,0,management,medium,0.9860085354592437
388,0.45,0.5,2,157,3,0,0,marketing,medium,0.986897108867625
389,0.42,0.57,2,154,3,1,0,marketing,medium,0.9830046364361055
390,0.78,1.0,4,253,5,0,0,marketing,low,0.9128679974056791
391,0.45,0.55,2,148,3,0,0,sales,low,0.9874366187227855
392,0.84,1.0,4,261,5,0,0,sales,low,0.9129488544869104
393,0.11,0.93,6,282,4,0,0,sales,low,0.9938512460086384
394,0.42,0.56,2,133,3,0,0,sales,low,0.9874844319797687
395,0.45,0.46,2,128,3,0,0,sales,low,0.9875678399986902
396,0.46,0.57,2,139,3,0,0,sales,low,0.987176610210499
397,0.09,0.79,6,293,5,0,0,sales,low,0.9969628035697108
398,0.87,0.83,4,265,6,0,0,sales,low,0.8710315476542895
399,0.1,0.87,6,250,4,0,0,sales,low,0.9863092134594825
400,0.91,1.0,5,251,6,0,0,sales,low,0.9183853731217883
401,0.76,0.92,4,246,5,0,0,sales,low,0.9016002007627313
402,0.74,1.0,5,275,5,0,0,sales,low,0.9230509160166085
403,0.92,0.93,5,240,5,0,0,sales,low,0.9119751756660972
